156
692
30
105
0 1 2
100 22 1
100 56 8
100 57 5
100 139 8
100 144 9
101 0 10
101 135 5
101 144 5
102 39 3
102 52 7
102 70 1
102 86 2
102 143 4
103 32 10
103 64 5
103 77 2
103 108 5
103 110 8
104 18 5
104 54 3
104 65 10
104 75 10
104 97 10
104 125 4
105 8 1
105 14 1
105 39 9
105 143 8
106 48 5
106 54 8
107 27 4
107 46 8
107 68 2
107 154 1
108 0 3
108 103 5
108 120 6
108 135 4
109 58 8
109 72 6
110 42 3
110 103 8
111 47 4
111 50 6
111 123 3
111 127 2
112 5 8
112 28 7
112 134 9
113 94 3
113 136 9
114 10 10
114 84 6
114 120 3
114 134 1
115 35 6
115 38 7
115 54 3
115 84 4
115 116 1
115 146 4
115 152 4
116 2 1
116 24 2
116 78 9
116 115 1
116 128 3
117 7 3
117 44 2
117 69 5
118 13 5
118 29 7
118 36 9
118 61 8
118 67 8
118 92 7
119 48 2
119 54 7
119 68 9
119 80 5
119 123 2
119 133 7
119 135 9
119 151 9
119 154 2
120 19 8
120 95 5
120 108 6
120 114 3
121 22 5
121 35 10
121 42 3
121 55 8
121 129 2
122 37 3
123 27 3
123 36 7
123 99 4
123 111 3
123 119 2
124 24 1
124 73 8
124 98 3
124 129 7
125 45 6
125 82 2
125 104 4
126 20 10
126 22 4
126 53 3
126 127 8
127 90 10
127 111 2
127 126 8
127 145 5
128 17 1
128 23 3
128 43 4
128 116 3
129 51 6
129 87 5
129 121 2
129 124 7
129 140 2
129 141 9
130 16 8
130 132 10
130 148 6
131 36 6
131 53 7
131 57 1
131 58 8
131 85 10
132 47 2
132 69 6
132 130 10
132 140 2
133 54 3
133 58 5
133 91 4
133 119 7
134 17 9
134 38 4
134 47 10
134 87 8
134 112 9
134 114 1
135 101 5
135 108 4
135 119 9
136 25 3
136 95 3
136 113 9
137 43 4
138 140 9
138 143 7
138 152 1
139 1 10
139 2 3
139 7 2
139 21 4
139 100 8
140 36 8
140 129 2
140 132 2
140 138 9
141 6 10
141 10 8
141 66 6
141 74 6
141 96 6
141 129 9
142 67 2
143 34 10
143 102 4
143 105 8
143 138 7
144 7 9
144 80 3
144 100 9
144 101 5
145 5 2
145 6 3
145 64 5
145 127 5
146 9 4
146 26 10
146 115 4
147 12 1
147 17 8
147 30 5
147 32 3
147 37 8
147 40 8
147 69 5
147 88 4
147 89 7
147 96 1
148 4 4
148 28 10
148 49 2
148 72 8
148 92 6
148 96 4
148 130 6
149 32 10
149 74 1
149 151 8
150 37 6
150 42 4
151 35 2
151 41 10
151 53 4
151 87 4
151 119 9
151 149 8
152 48 9
152 52 6
152 82 8
152 85 7
152 99 8
152 115 4
152 138 1
153 6 8
153 64 2
153 70 1
154 19 4
154 35 6
154 96 6
154 107 1
154 119 2
155 4 8
155 36 3
